,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
112,113,Berries and berry products,1,"Strawberries, ”Honey,” cultivated",Norwegian University of Life Sciences,Norway,2.33,5,Strawberries++”Honey+”+cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberries++”Honey+”+cultivated
113,114,Berries and berry products,1,"Strawberries, ”Senga Sengana”, cultivated",Norwegian University of Life Sciences,Norway,1.85,5,Strawberries++”Senga+Sengana”++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberries++”Senga+Sengana”++cultivated
114,115,Berries and berry products,1,"Strawberry, jam","Nora, Stabburet, Norway",Norway,0.64,3,Strawberry++jam,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberry++jam
115,116,Berries and berry products,1,"Strawberry, jam, light","Nora, Stabburet, Norway",Norway,0.68,3,Strawberry++jam++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberry++jam++light
116,117,Berries and berry products,1,"Sweet cherries, cultivated",Norway,Norway,1.42,3,Sweet+cherries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sweet+cherries++cultivated
117,118,Berries and berry products,1,Wild strawberries,Norway,Norway,5.44,4,Wild+strawberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Wild+strawberries
118,119,Berries and berry products,1,"Zereshk (Barberries, dried)",Iran,Iran,27.3,3,Zereshk++Barberries++dried+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Zereshk++Barberries++dried+
119,120,Beverages,2,"Aquavit, Løiten Linie","Løiten Brænderis Destillation, Norway",Norway,0.12,3,Aquavit++Løiten+Linie,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Aquavit++Løiten+Linie
120,121,Beverages,2,"Beer, Bavarian Weizen","Haandbryggeriet, Norway",Norway,0.27,3,Beer++Bavarian+Weizen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Bavarian+Weizen
121,122,Beverages,2,"Beer, Bayer","Frydenlund, Norway",Norway,0.25,3,Beer++Bayer,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Bayer
